datetime,count
2011-01-20 00:00:00,13.324
2011-01-20 01:00:00,4.726
2011-01-20 02:00:00,4.154
2011-01-20 03:00:00,3.574
2011-01-20 04:00:00,3.292
2011-01-20 05:00:00,8.302
2011-01-20 06:00:00,32.99
2011-01-20 07:00:00,100.35
2011-01-20 08:00:00,224.534
2011-01-20 09:00:00,128.222
2011-01-20 10:00:00,55.062
2011-01-20 11:00:00,59.056
2011-01-20 12:00:00,86.8
2011-01-20 13:00:00,71.468
2011-01-20 14:00:00,78.86
2011-01-20 15:00:00,84.948
2011-01-20 16:00:00,97.296
2011-01-20 17:00:00,195.876
2011-01-20 18:00:00,166.986
2011-01-20 19:00:00,104.512
2011-01-20 20:00:00,72.968
2011-01-20 21:00:00,52.906
2011-01-20 22:00:00,40.754
2011-01-20 23:00:00,23.702
2011-01-21 00:00:00,14.906
2011-01-21 01:00:00,6.414
2011-01-21 02:00:00,3.778
2011-01-21 03:00:00,2.308
2011-01-21 04:00:00,2.23
2011-01-21 05:00:00,4.354
2011-01-21 06:00:00,31.36
2011-01-21 07:00:00,93.11
2011-01-21 08:00:00,205.824
2011-01-21 09:00:00,129.21
2011-01-21 10:00:00,28.228
2011-01-21 11:00:00,48.198
2011-01-21 12:00:00,53.992
2011-01-21 13:00:00,40.652
2011-01-21 14:00:00,39.542
2011-01-21 15:00:00,39.884
2011-01-21 16:00:00,57.814
2011-01-21 17:00:00,150.792
2011-01-21 18:00:00,148.452
2011-01-21 19:00:00,100.232
2011-01-21 20:00:00,68.694
2011-01-21 21:00:00,45.334
2011-01-21 22:00:00,31.94
2011-01-21 23:00:00,17.614
2011-01-22 00:00:00,27.69
2011-01-22 01:00:00,22.728
2011-01-22 02:00:00,19.33
2011-01-22 03:00:00,7.306
2011-01-22 04:00:00,2.882
2011-01-22 06:00:00,5.478
2011-01-22 07:00:00,14.81
2011-01-22 08:00:00,24.182
2011-01-22 09:00:00,35.45
2011-01-22 10:00:00,61.828
2011-01-22 11:00:00,63.494
2011-01-22 12:00:00,68.852
2011-01-22 13:00:00,72.332
2011-01-22 14:00:00,70.262
2011-01-22 15:00:00,71.984
2011-01-22 16:00:00,72.73
2011-01-22 17:00:00,76.154
2011-01-22 18:00:00,69.126
2011-01-22 19:00:00,57.154
2011-01-22 20:00:00,43.998
2011-01-22 21:00:00,37.082
2011-01-22 22:00:00,27.438
2011-01-22 23:00:00,13.766
2011-01-23 00:00:00,33.014
2011-01-23 01:00:00,26.328
2011-01-23 02:00:00,22.036
2011-01-23 03:00:00,14.1
2011-01-23 05:00:00,3.842
2011-01-23 06:00:00,4.042
2011-01-23 07:00:00,12.592
2011-01-23 08:00:00,23.156
2011-01-23 09:00:00,31.898
2011-01-23 10:00:00,64.156
2011-01-23 11:00:00,63.976
2011-01-23 12:00:00,73.24
2011-01-23 13:00:00,72.452
2011-01-23 14:00:00,73.87
2011-01-23 15:00:00,74.076
2011-01-23 16:00:00,75.654
2011-01-23 17:00:00,79.06
2011-01-23 18:00:00,73.73
2011-01-23 19:00:00,62.664
2011-01-23 20:00:00,41.744
2011-01-23 21:00:00,35.224
2011-01-23 22:00:00,27.238
2011-01-23 23:00:00,14.406
2011-01-24 00:00:00,11.534
2011-01-24 01:00:00,4.39
2011-01-24 03:00:00,2.646
2011-01-24 04:00:00,2.736
2011-01-24 05:00:00,6.924
2011-01-24 06:00:00,26.784
2011-01-24 07:00:00,79.216
2011-01-24 08:00:00,181.006
2011-01-24 09:00:00,117.526
2011-01-24 10:00:00,30.45
2011-01-24 11:00:00,28.348
2011-01-24 12:00:00,30.996
2011-01-24 13:00:00,31.24
2011-01-24 14:00:00,30.476
2011-01-24 15:00:00,34.984
2011-01-24 16:00:00,49.886
2011-01-24 17:00:00,145.042
2011-01-24 18:00:00,141.144
2011-01-24 19:00:00,94.766
2011-01-24 20:00:00,60.446
2011-01-24 21:00:00,41.5
2011-01-24 22:00:00,27.852
2011-01-24 23:00:00,17.75
2011-01-25 00:00:00,11.174
2011-01-25 01:00:00,4.354
2011-01-25 02:00:00,2.662
2011-01-25 04:00:00,2.358
2011-01-25 05:00:00,6.336
2011-01-25 06:00:00,33.038
2011-01-25 07:00:00,74.336
2011-01-25 08:00:00,188.878
2011-01-25 09:00:00,123.944
2011-01-25 10:00:00,43.414
2011-01-25 11:00:00,52.226
2011-01-25 12:00:00,70.166
2011-01-25 13:00:00,67.282
2011-01-25 14:00:00,85.838
2011-01-25 15:00:00,94.196
2011-01-25 16:00:00,110.136
2011-01-25 17:00:00,203.422
2011-01-25 18:00:00,176.88
2011-01-25 19:00:00,107.388
2011-01-25 20:00:00,72.65
2011-01-25 21:00:00,51.494
2011-01-25 22:00:00,39.774
2011-01-25 23:00:00,22.95
2011-01-26 00:00:00,12.274
2011-01-26 01:00:00,4.978
2011-01-26 02:00:00,2.962
2011-01-26 05:00:00,4.054
2011-01-26 06:00:00,30.932
2011-01-26 07:00:00,78.998
2011-01-26 08:00:00,196.33
2011-01-26 09:00:00,106.672
2011-01-26 10:00:00,33.518
2011-01-26 11:00:00,31.192
2011-01-26 12:00:00,28.896
2011-01-26 13:00:00,30.522
2011-01-26 14:00:00,29.348
2011-01-26 15:00:00,30.644
2011-01-26 16:00:00,45.454
2011-01-26 17:00:00,129.256
2011-01-27 16:00:00,62.544
2011-01-27 17:00:00,144.672
2011-01-27 18:00:00,134.11
2011-01-27 19:00:00,98.086
2011-01-27 20:00:00,77.344
2011-01-27 21:00:00,52.606
2011-01-27 22:00:00,37.236
2011-01-27 23:00:00,17.542
2011-01-28 00:00:00,15.208
2011-01-28 01:00:00,6.606
2011-01-28 02:00:00,2.674
2011-01-28 03:00:00,2.354
2011-01-28 05:00:00,7.482
2011-01-28 06:00:00,32.016
2011-01-28 07:00:00,78.35
2011-01-28 08:00:00,197.548
2011-01-28 09:00:00,117.25
2011-01-28 10:00:00,31.058
2011-01-28 11:00:00,32.12
2011-01-28 12:00:00,31.638
2011-01-28 13:00:00,33.546
2011-01-28 14:00:00,47.148
2011-01-28 15:00:00,38.304
2011-01-28 16:00:00,65.494
2011-01-28 17:00:00,146.08
2011-01-28 18:00:00,139.568
2011-01-28 19:00:00,102.616
2011-01-28 20:00:00,70.618
2011-01-28 21:00:00,51.576
2011-01-28 22:00:00,40.192
2011-01-28 23:00:00,27.716
2011-01-29 00:00:00,31.646
2011-01-29 01:00:00,25.452
2011-01-29 02:00:00,20.012
2011-01-29 03:00:00,11.666
2011-01-29 04:00:00,4.298
2011-01-29 06:00:00,4.374
2011-01-29 07:00:00,13.294
2011-01-29 08:00:00,27.716
2011-01-29 09:00:00,33.052
2011-01-29 10:00:00,61.064
2011-01-29 11:00:00,61.022
2011-01-29 12:00:00,70.344
2011-01-29 13:00:00,73.756
2011-01-29 14:00:00,71.964
2011-01-29 15:00:00,73.496
2011-01-29 16:00:00,83.852
2011-01-29 17:00:00,77.072
2011-01-29 18:00:00,72.074
2011-01-29 19:00:00,65.97
2011-01-29 20:00:00,46.668
2011-01-29 21:00:00,38.26
2011-01-29 22:00:00,28.954
2011-01-29 23:00:00,13.182
2011-01-30 00:00:00,35.922
2011-01-30 01:00:00,30.016
2011-01-30 02:00:00,25.254
2011-01-30 03:00:00,14.696
2011-01-30 04:00:00,4.852
2011-01-30 05:00:00,4.524
2011-01-30 07:00:00,11.766
2011-01-30 08:00:00,23.258
2011-01-30 09:00:00,31.22
2011-01-30 10:00:00,57.744
2011-01-30 11:00:00,63.1
2011-01-30 12:00:00,107.23
2011-01-30 13:00:00,88.296
2011-01-30 14:00:00,98.416
2011-01-30 15:00:00,117.346
2011-01-30 16:00:00,115.02
2011-01-30 17:00:00,83.936
2011-01-30 18:00:00,75.432
2011-01-30 19:00:00,62.83
2011-01-30 20:00:00,44.428
2011-01-30 21:00:00,38.12
2011-01-30 22:00:00,33.296
2011-01-30 23:00:00,21.504
2011-01-31 00:00:00,13.752
2011-01-31 01:00:00,4.48
2011-01-31 02:00:00,3.126
2011-01-31 03:00:00,2.972
2011-01-31 04:00:00,2.678
2011-01-31 05:00:00,3.606
2011-01-31 06:00:00,32.136
2011-01-31 07:00:00,80.474
2011-01-31 08:00:00,182.78
2011-01-31 09:00:00,117.224
2011-01-31 10:00:00,28.014
2011-01-31 11:00:00,28.192
2011-01-31 12:00:00,33.8
2011-01-31 13:00:00,36.156
2011-01-31 14:00:00,33.266
2011-01-31 15:00:00,30.982
2011-01-31 16:00:00,50.75
2011-01-31 17:00:00,143.512
2011-01-31 18:00:00,142.494
2011-01-31 19:00:00,122.344
2011-01-31 20:00:00,63.918
2011-01-31 21:00:00,45.212
2011-01-31 22:00:00,29.62
2011-01-31 23:00:00,18.078
2011-02-20 00:00:00,37.112
2011-02-20 01:00:00,25.726
2011-02-20 02:00:00,22.786
2011-02-20 03:00:00,13.072
2011-02-20 04:00:00,2.994
2011-02-20 06:00:00,4.242
2011-02-20 07:00:00,14.932
2011-02-20 08:00:00,26.59
2011-02-20 09:00:00,35.77
2011-02-20 10:00:00,92.768
2011-02-20 11:00:00,108.032
2011-02-20 12:00:00,117.114
2011-02-20 13:00:00,141.046
2011-02-20 14:00:00,153.268
2011-02-20 15:00:00,169.344
2011-02-20 16:00:00,164.452
2011-02-20 17:00:00,116.758
2011-02-20 18:00:00,97.086
2011-02-20 19:00:00,90.622
2011-02-20 20:00:00,84.506
2011-02-20 21:00:00,63.41
